,Text,True,mask,0,1,2,3,4,5
0,i sit here tonight and think about my day the little i physically accomplished and how tremendously exhausted i feel words to a song i liked by paul young in the s come to mind every time you go away,LABEL_2,-1,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08
1,i sit here tonight and think about my day the little i physically accomplished and how tremendously exhausted i feel words to a song i liked by paul young in the s come to mind every time you go away,LABEL_2,0,7.050093842053684e-08,7.050093842053684e-08,7.050093842053684e-08,7.050093842053684e-08,7.050093842053684e-08,7.050093842053684e-08
2,i like the idea of high speed trains but i have a feeling the airline industry isn t fond of the idea,LABEL_2,-1,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08
3,i like the idea of high speed trains but i have a feeling the airline industry isn t fond of the idea,LABEL_2,0,8.139894447367624e-08,8.139894447367624e-08,8.139894447367624e-08,8.139894447367624e-08,8.139894447367624e-08,8.139894447367624e-08
4,i lived there for about years and its one of those places thats so boring you cant help but feel fond of any little quirks it actually does have hence putting it on my interests,LABEL_2,-1,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07
5,i lived there for about years and its one of those places thats so boring you cant help but feel fond of any little quirks it actually does have hence putting it on my interests,LABEL_2,0,2.193017962781596e-07,2.193017962781596e-07,2.193017962781596e-07,2.193017962781596e-07,2.193017962781596e-07,2.193017962781596e-07
6,i never really thought that i would be able to get along with him and much to my surprise he has been one of my closest guy friends whom i can be with without feeling a little ilang because i am not really that fond of being with the boys hahaha,LABEL_2,-1,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07
7,i never really thought that i would be able to get along with him and much to my surprise he has been one of my closest guy friends whom i can be with without feeling a little ilang because i am not really that fond of being with the boys hahaha,LABEL_2,0,2.907894440795644e-07,2.907894440795644e-07,2.907894440795644e-07,2.907894440795644e-07,2.907894440795644e-07,2.907894440795644e-07
8,i personally feel in the fond memory of great radhakrishnan it is an occasion to pay tribute to all the great teachers,LABEL_2,-1,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07
9,i personally feel in the fond memory of great radhakrishnan it is an occasion to pay tribute to all the great teachers,LABEL_2,0,2.225092856633637e-07,2.225092856633637e-07,2.225092856633637e-07,2.225092856633637e-07,2.225092856633637e-07,2.225092856633637e-07
10,i feel you start to pull away so i cling tighter to you adoring you even more with random words of rapture so that you might turn back to me to stay a little longer,LABEL_2,-1,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08
11,i feel you start to pull away so i cling tighter to you adoring you even more with random words of rapture so that you might turn back to me to stay a little longer,LABEL_2,0,4.8296133314806866e-08,4.8296133314806866e-08,4.8296133314806866e-08,4.8296133314806866e-08,4.8296133314806866e-08,4.8296133314806866e-08
12,i made a conscious decision to really try to focus on exercising for enjoyment and pleasure and i remember feeling fond of riding a bike,LABEL_2,-1,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08
13,i made a conscious decision to really try to focus on exercising for enjoyment and pleasure and i remember feeling fond of riding a bike,LABEL_2,0,8.924881456096045e-08,8.924881456096045e-08,8.924881456096045e-08,8.924881456096045e-08,8.924881456096045e-08,8.924881456096045e-08
14,ive somehow had a few epiphanies and toned down the need for validation its still a work in progress but i feel less need to be liked by people who dont deserve the attention,LABEL_2,-1,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07
15,ive somehow had a few epiphanies and toned down the need for validation its still a work in progress but i feel less need to be liked by people who dont deserve the attention,LABEL_2,0,1.449906932293743e-07,1.449906932293743e-07,1.449906932293743e-07,1.449906932293743e-07,1.449906932293743e-07,1.449906932293743e-07
16,i but i feel that i have to pen my fond memories of this wonderful festival of dolls which is every girls favourite,LABEL_2,-1,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08
17,i but i feel that i have to pen my fond memories of this wonderful festival of dolls which is every girls favourite,LABEL_2,0,7.866586315685709e-08,7.866586315685709e-08,7.866586315685709e-08,7.866586315685709e-08,7.866586315685709e-08,7.866586315685709e-08
18,i feel just a little less fond of convenience stores,LABEL_2,-1,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07
19,i feel just a little less fond of convenience stores,LABEL_2,0,1.9435439924109232e-07,1.9435439924109232e-07,1.9435439924109232e-07,1.9435439924109232e-07,1.9435439924109232e-07,1.9435439924109232e-07
