index,text,label,score
76903,i feel doomed most of the time,LABEL_0,0.9999991655349731
12562,i feel discouraged weeks,LABEL_0,0.9999990463256836
32248,ive also been feeling incredibly discouraged about my role here,LABEL_0,0.9999990463256836
32441,i feel discouraged sometimes,LABEL_0,0.9999990463256836
35364,i have found myself a lot lately i feel discouraged about many things in life,LABEL_0,0.9999990463256836
45608,i often feel unloved not good enough and shoved off to the side,LABEL_0,0.9999990463256836
46069,i was feeling especially discouraged one morning,LABEL_0,0.9999990463256836
53310,i feel a little discouraged here,LABEL_0,0.9999990463256836
59676,i want others to gain from it not feel discouraged by it,LABEL_0,0.9999990463256836
61653,i feel discouraged and neglect to pray,LABEL_0,0.9999990463256836
64110,i was feeling very discouraged and couldn t keep up with my race schedule,LABEL_0,0.9999990463256836
73819,i feel too discouraged to look,LABEL_0,0.9999990463256836
74472,i tend to feel discouraged and unmotivated,LABEL_0,0.9999990463256836
75945,i feel discouraged but im not giving up,LABEL_0,0.9999990463256836
9417,i was sitting here feeling a little discouraged about a situation,LABEL_0,0.999998927116394
18835,i went to class wednesday and friday and came home feeling more discouraged than i had felt in a long time,LABEL_0,0.999998927116394
19034,im feeling extremely discouraged about everything right now,LABEL_0,0.999998927116394
23405,i try to date but feel discouraged in small town life,LABEL_0,0.999998927116394
24142,i see the what i eat pictures i always feel discouraged,LABEL_0,0.999998927116394
25877,i feel unloved it is always me shutting him out,LABEL_0,0.999998927116394
32694,i cant give you an exact reason but the book left me feeling discouraged while the movie is uplifting,LABEL_0,0.999998927116394
34344,im feeling a bit morose,LABEL_0,0.999998927116394
35579,i just feel discouraged with different parts of my life,LABEL_0,0.999998927116394
40642,im feeling very discouraged as a mom lately,LABEL_0,0.999998927116394
44067,i was tempted to feel discouraged,LABEL_0,0.999998927116394
45073,i am feeling rather discouraged on this menu ordeal and have been dreading qu,LABEL_0,0.999998927116394
45077,i found myself feeling quite discouraged,LABEL_0,0.999998927116394
48621,i make a few strides forward and shortly after end up back at square one feeling discouraged and weak,LABEL_0,0.999998927116394
52054,i listen to when i feel discouraged as a writer,LABEL_0,0.999998927116394
53512,i am feeling very discouraged and worried today,LABEL_0,0.999998927116394
58820,i went to bed feeling a little morose,LABEL_0,0.999998927116394
60277,im feeling unloved or taken for granted,LABEL_0,0.999998927116394
61091,i was feeling primarily discouraged,LABEL_0,0.999998927116394
62601,i have been mostly positive but i do have days where i feel discouraged from the bad side effects of the treatment,LABEL_0,0.999998927116394
63674,im feeling discouraged or down on things that are out of my control,LABEL_0,0.999998927116394
71390,i feel unloved what do i feel is missing,LABEL_0,0.999998927116394
74125,i feel a little awkward taking pictures,LABEL_0,0.999998927116394
74280,i feel like every time everyone else swoons over a book i am doomed to dislike it,LABEL_0,0.999998927116394
74528,i need not your pity but dont pretend that i dont feel discouraged each time someone close to me is expecting,LABEL_0,0.999998927116394
81875,i know i am not really but i am feeling discouraged right now,LABEL_0,0.999998927116394
82736,i left the movie feeling discouraged and lost,LABEL_0,0.999998927116394
1142,i couldn t help but feel mega discouraged at my loss on one day s worth of studying,LABEL_0,0.9999988079071045
1409,i actually seemed to find my way into the outdoors i was feeling a bit discouraged,LABEL_0,0.9999988079071045
2250,im feeling so morose,LABEL_0,0.9999988079071045
2426,i did not want to feel discouraged looking at a gain,LABEL_0,0.9999988079071045
4147,i know that there will be days that i am going to feel discouraged,LABEL_0,0.9999988079071045
5348,i feel morose,LABEL_0,0.9999988079071045
9313,i feel so awkward and out of place,LABEL_0,0.9999988079071045
10593,i remembered that heavenly father doesnt want me to feel discouraged,LABEL_0,0.9999988079071045
10968,i feel completely discouraged with my week postpartum check coming up,LABEL_0,0.9999988079071045
11480,i arrived they were talking about what we can do when we feel discouraged,LABEL_0,0.9999988079071045
11631,i just feel discouraged,LABEL_0,0.9999988079071045
13550,id say overall that im feeling somewhat morose,LABEL_0,0.9999988079071045
13589,i started feeling discouraged,LABEL_0,0.9999988079071045
13900,i feel like i m doomed at this weight and can t go lower help please,LABEL_0,0.9999988079071045
14156,i woke up still feeling a bit morose,LABEL_0,0.9999988079071045
14190,i have been feeling slightly discouraged b c my student loans are in the figure range,LABEL_0,0.9999988079071045
14728,i was feeling a little discouraged but i was not going to give up,LABEL_0,0.9999988079071045
17294,i was feeling so disturbed by a couple of matters,LABEL_0,0.9999988079071045
17559,i sit there just in silence feeling awkward,LABEL_0,0.9999988079071045
22384,i am feeling morose,LABEL_0,0.9999988079071045
22486,i feel so discouraged and start to loose hope,LABEL_0,0.9999988079071045
23600,i started my week out feeling a little discouraged,LABEL_0,0.9999988079071045
23854,i was feeling incredibly discouraged,LABEL_0,0.9999988079071045
24471,ive had some stressful situations lately that have left me feeling quite discouraged and a little beat down,LABEL_0,0.9999988079071045
25767,i started to feel discouraged,LABEL_0,0.9999988079071045
33280,i not feel discouraged,LABEL_0,0.9999988079071045
34396,i was feeling a bit discouraged and her words really hit home,LABEL_0,0.9999988079071045
36835,im feeling a bit discouraged at the moment,LABEL_0,0.9999988079071045
37792,i gather a unique calling that reaches out to people who might feel unwelcome at other religious institutions,LABEL_0,0.9999988079071045
39102,i had to use one word to describe our feelings lately it would be discouraged,LABEL_0,0.9999988079071045
39107,i was feeling really discouraged about my time management lately,LABEL_0,0.9999988079071045
40595,i feel but i m feeling just a bit more morose,LABEL_0,0.9999988079071045
41490,i have enough problems with my own family making me feel unwelcome,LABEL_0,0.9999988079071045
44661,i knew that i was in the right place i was feeling discouraged,LABEL_0,0.9999988079071045
45122,i newly feeling of being unloved and unneeded,LABEL_0,0.9999988079071045
46410,i feel unloved lonely inadequate and trapped,LABEL_0,0.9999988079071045
47713,i feel unloved uncared for,LABEL_0,0.9999988079071045
49886,i realize that in my time of feeling discouraged i forgot what i really stand for,LABEL_0,0.9999988079071045
50571,i will be honest i feel discouraged tonight,LABEL_0,0.9999988079071045
51136,im continually battling feeling unloved no matter which approach others use to show me otherwise,LABEL_0,0.9999988079071045
51264,i don t want you to feel discouraged about this,LABEL_0,0.9999988079071045
53159,i feel like im doomed to forever be on the periphery here,LABEL_0,0.9999988079071045
54747,i made the return trip home got off the train and began the walk to my apartment still feeling a little discouraged at the failed attempt,LABEL_0,0.9999988079071045
55344,i have been feeling discouraged after our second round play off loss,LABEL_0,0.9999988079071045
56875,i made her feel unwelcome,LABEL_0,0.9999988079071045
57065,im feeling pretty unwelcome at the moment,LABEL_0,0.9999988079071045
60748,i just feel all kinds of awkward,LABEL_0,0.9999988079071045
63278,i know what i want to do but i just feel so discouraged sometimes even though i do have a lot of great family around me i still dont feel right,LABEL_0,0.9999988079071045
64724,im back down to and with days before our trip im feeling discouraged that i wont meet my trip goal,LABEL_0,0.9999988079071045
64808,im feeling less morose,LABEL_0,0.9999988079071045
64951,im just feeling so incredibly discouraged right now,LABEL_0,0.9999988079071045
66251,i remember feeling very discouraged,LABEL_0,0.9999988079071045
67019,i was feeling pretty discouraged about my running life,LABEL_0,0.9999988079071045
67500,i feel like i am being punished for leaving,LABEL_0,0.9999988079071045
67519,i really need prayer right i am feeling very discouraged,LABEL_0,0.9999988079071045
68441,im feeling unloved,LABEL_0,0.9999988079071045
69298,i feel as if i have already doomed myself by deciding to take a year off,LABEL_0,0.9999988079071045
70508,im feeling rather discouraged,LABEL_0,0.9999988079071045
71133,i was only dilated to a and feeling very discouraged,LABEL_0,0.9999988079071045
