,Text,True,mask,0,1,2,3,4,5
0,i sit here tonight and think about my day the little i physically accomplished and how tremendously exhausted i feel words to a song i liked by paul young in the s come to mind every time you go away,LABEL_2,-1,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08,5.808938752238646e-08
1,i sit here tonight and think about my day the little i physically accomplished and how tremendously exhausted i feel words to a song i liked by paul young in the s come to mind every time you go away,LABEL_2,0,0.36216291785240173,0.36216291785240173,0.36216291785240173,0.36216291785240173,0.36216291785240173,0.36216291785240173
2,i like the idea of high speed trains but i have a feeling the airline industry isn t fond of the idea,LABEL_2,-1,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08,6.618785874934474e-08
3,i like the idea of high speed trains but i have a feeling the airline industry isn t fond of the idea,LABEL_2,0,0.0019445521757006645,0.0019445521757006645,0.0019445521757006645,0.0019445521757006645,0.0019445521757006645,0.0019445521757006645
4,i lived there for about years and its one of those places thats so boring you cant help but feel fond of any little quirks it actually does have hence putting it on my interests,LABEL_2,-1,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07,1.645596370281055e-07
5,i lived there for about years and its one of those places thats so boring you cant help but feel fond of any little quirks it actually does have hence putting it on my interests,LABEL_2,0,0.3283594846725464,0.3283594846725464,0.3283594846725464,0.3283594846725464,0.3283594846725464,0.3283594846725464
6,i never really thought that i would be able to get along with him and much to my surprise he has been one of my closest guy friends whom i can be with without feeling a little ilang because i am not really that fond of being with the boys hahaha,LABEL_2,-1,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07,2.749421241787786e-07
7,i never really thought that i would be able to get along with him and much to my surprise he has been one of my closest guy friends whom i can be with without feeling a little ilang because i am not really that fond of being with the boys hahaha,LABEL_2,0,0.45222434401512146,0.45222434401512146,0.45222434401512146,0.45222434401512146,0.45222434401512146,0.45222434401512146
8,i personally feel in the fond memory of great radhakrishnan it is an occasion to pay tribute to all the great teachers,LABEL_2,-1,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07,1.6562744065140578e-07
9,i personally feel in the fond memory of great radhakrishnan it is an occasion to pay tribute to all the great teachers,LABEL_2,0,0.18323801457881927,0.18323801457881927,0.18323801457881927,0.18323801457881927,0.18323801457881927,0.18323801457881927
10,i feel you start to pull away so i cling tighter to you adoring you even more with random words of rapture so that you might turn back to me to stay a little longer,LABEL_2,-1,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08,4.492679295253765e-08
11,i feel you start to pull away so i cling tighter to you adoring you even more with random words of rapture so that you might turn back to me to stay a little longer,LABEL_2,0,0.3741520643234253,0.3741520643234253,0.3741520643234253,0.3741520643234253,0.3741520643234253,0.3741520643234253
12,i made a conscious decision to really try to focus on exercising for enjoyment and pleasure and i remember feeling fond of riding a bike,LABEL_2,-1,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08,7.41063814757581e-08
13,i made a conscious decision to really try to focus on exercising for enjoyment and pleasure and i remember feeling fond of riding a bike,LABEL_2,0,0.13216136395931244,0.13216136395931244,0.13216136395931244,0.13216136395931244,0.13216136395931244,0.13216136395931244
14,ive somehow had a few epiphanies and toned down the need for validation its still a work in progress but i feel less need to be liked by people who dont deserve the attention,LABEL_2,-1,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07,1.3697292899905733e-07
15,ive somehow had a few epiphanies and toned down the need for validation its still a work in progress but i feel less need to be liked by people who dont deserve the attention,LABEL_2,0,0.29951512813568115,0.29951512813568115,0.29951512813568115,0.29951512813568115,0.29951512813568115,0.29951512813568115
16,i but i feel that i have to pen my fond memories of this wonderful festival of dolls which is every girls favourite,LABEL_2,-1,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08,7.072022611964712e-08
17,i but i feel that i have to pen my fond memories of this wonderful festival of dolls which is every girls favourite,LABEL_2,0,0.2314709573984146,0.2314709573984146,0.2314709573984146,0.2314709573984146,0.2314709573984146,0.2314709573984146
18,i feel just a little less fond of convenience stores,LABEL_2,-1,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07,1.6551278747556353e-07
19,i feel just a little less fond of convenience stores,LABEL_2,0,0.2960878610610962,0.2960878610610962,0.2960878610610962,0.2960878610610962,0.2960878610610962,0.2960878610610962
20,i ever feel any kind of jealousy towards bethany is when her mother hugs her in the adoring all consuming motherly love kind of way,LABEL_2,-1,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08,8.154204778065832e-08
21,i ever feel any kind of jealousy towards bethany is when her mother hugs her in the adoring all consuming motherly love kind of way,LABEL_2,0,0.5235286355018616,0.5235286355018616,0.5235286355018616,0.5235286355018616,0.5235286355018616,0.5235286355018616
22,i feel fond of the ufc and the fans always debate over who is the better organization but as a fighter representing ufc i think ufc has the better fighters,LABEL_2,-1,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07,1.4429537031901418e-07
23,i feel fond of the ufc and the fans always debate over who is the better organization but as a fighter representing ufc i think ufc has the better fighters,LABEL_2,0,0.20321691036224365,0.20321691036224365,0.20321691036224365,0.20321691036224365,0.20321691036224365,0.20321691036224365
24,i am no pro but being that i have beat and played through the game three times to be exact i feel i can tell you some things i liked and some things i did not,LABEL_2,-1,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08,4.741821513221112e-08
25,i am no pro but being that i have beat and played through the game three times to be exact i feel i can tell you some things i liked and some things i did not,LABEL_2,0,0.0007357890135608613,0.0007357890135608613,0.0007357890135608613,0.0007357890135608613,0.0007357890135608613,0.0007357890135608613
26,i bet there isn t a universe out there where a gibbs doesn t feel the need to slap a dinozzo he said and there was something kind of fond about the way he said it that made tony glow a bit inside,LABEL_2,-1,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07,1.722122959790795e-07
