index,text,label
388160,i know what it would feel like in terms of balance and muscle movement to throw a perfect roundhouse kick for example but i dont have the flexibility to do it,1
49853,i can talk to about no matter what im feeling and it has really helped me not only get through a lot of this but also keep my faith strong in the process,1
176882,i can now see her love for me and i can feel fearless love for her,1
360769,i feel like he doesnt make much time for me i want to get married and he doesnt have any plans he is not sweet,1
406131,i struggle but i am on my way to feeling content,1
298026,i feel ok today but some days i want to collapse in a quivering heap because i am so sick of struggling and having to fight for things that others take for granted,1
266882,i now have a resume that i feel proud of,1
385895,i feel rich healthy open,1
126197,i am feeling hopeful as we embark on this new chapter of our familys story,1
47322,i do not know why i feel he is very rich,1
93377,i always felt cheated that i was not a girl and despite reaching middle age and actually feeling fairly contented with my male life indeed i now have no desire to give it up i am still slightly crippled emotionally with the dream of becoming a woman,1
71192,i feel reassured that she s in good hands,1
212621,i also think having your own child is one of the most incredible things but for some reason i feel a strong calling currently to help a little one out from the unfortunate circumstances they were born into that i was lucky enough to not be born into those circumstances,1
228293,i never thought i could feel thankful for such an awful thing but i am for making me stronger even as my husband gets weaker,1
4402,i feel are moving more towards the casual gamer,1
196118,i realized this i strutted around like some sort of olympic athlete and spent a solid hours feeling like a superior human like i imagine marathon runners feel all of the time,1
185472,i feel my temper starting to flare and he just stays so calm,1
232692,i feel like the most important topics to know for the midterm will be the ones that we have gone over many times in the homework like the chinese remainder theorem and the rsa encryption,1
56328,i make sure that everyone feels special but a major thing i do is to make my son know it s his special day i ve heard of others giving gifts to siblings to ensure they feel happy too but that can create hostility and take away from one,1
346998,i now have time to do what ive been meaning to do for a while and it feels fucking fantastic,1
346826,i feel also these words may apply on special albums compilations short eps etc,1
83588,i couldn t help but feel inspired,1
198407,ive been cooking at home so i feel useful for once,1
69607,i feel he refers to doctor who being a family series a tad too often in interviews he really is an innocent guy in that way,1
225903,i feel the contrast between rich and poor bear down on me so heavily and as i walk along hungry broke i see the classy people eating classy meals in classy joints and my hunger and frustrations grow as i feel my ribs pressed hard against my skin,1
81720,i am starting to get agitated irrational and highly uncomfortable over something that really shouldnt feel so important but does,1
88282,i want to get things done and feel that surge of euphoria that comes from doing something i enjoy and being productive,1
376734,im still feeling mellow,1
227877,i felt he had goals mapped out and i feel he was successful in the result,1
101620,i feel so fabulous with this person effect,1
74584,i know i am not fat nor ugly however i cant help but feel that way seeing others who look almost flawless,1
148301,i feel energetic take advantage get some things done,1
188773,i doubt however if it is good for us to feel assured of this without the accompanying obligation of having to justify this devotion by our behavior,1
174793,i am feeling contented and happy,1
259509,i feel so very appreciative that we still have contact,1
371467,i woke up feeling very thankful that i am alive and clean,1
237592,i love it and i feel so thankful to have a career i like so much,1
235736,i feel that the lines heavily reflect my drawing style as well as my attraction to artists that use linework in their drawings or other mediums,1
280678,i like to feel like i m useful,1
283697,i am in an advent calendar mood i decided to cover mini themes to think about please feel free to pick and choose those relevant to your situation,1
259943,i was not injured since then and i barely feel muscle strain therefore i think that my techniques is acceptable,1
186367,i was feeling comfortable in the first fight i saw things that were working for me but i m expecting a better rendall munroe because i think he might have underestimated me first time around,1
99790,i feel it is vital for me to mention how much fun i had,1
